"Date	S&P 500: (World)"
"2014-04-07	18"
"2014-04-14	16"
"2014-04-21	15"
"2014-04-28	15"
"2014-05-05	14"
"2014-05-12	16"
"2014-05-19	14"
"2014-05-26	14"
"2014-06-02	15"
"2014-06-09	15"
"2014-06-16	15"
"2014-06-23	14"
"2014-06-30	14"
"2014-07-07	15"
"2014-07-14	15"
"2014-07-21	15"
"2014-07-28	18"
"2014-08-04	17"
"2014-08-11	16"
"2014-08-18	16"
"2014-08-25	19"
"2014-09-01	15"
"2014-09-08	16"
"2014-09-15	17"
"2014-09-22	17"
"2014-09-29	19"
"2014-10-06	22"
"2014-10-13	29"
"2014-10-20	22"
"2014-10-27	21"
"2014-11-03	20"
"2014-11-10	19"
"2014-11-17	19"
"2014-11-24	15"
"2014-12-01	19"
"2014-12-08	20"
"2014-12-15	22"
"2014-12-22	17"
"2014-12-29	18"
"2015-01-05	23"
"2015-01-12	22"
"2015-01-19	19"
"2015-01-26	21"
"2015-02-02	22"
"2015-02-09	20"
"2015-02-16	19"
"2015-02-23	19"
"2015-03-02	20"
"2015-03-09	20"
"2015-03-16	20"
"2015-03-23	18"
"2015-03-30	18"
"2015-04-06	18"
"2015-04-13	19"
"2015-04-20	18"
"2015-04-27	18"
"2015-05-04	17"
"2015-05-11	17"
"2015-05-18	17"
"2015-05-25	15"
"2015-06-01	16"
"2015-06-08	17"
"2015-06-15	16"
"2015-06-22	16"
"2015-06-29	19"
"2015-07-06	23"
"2015-07-13	19"
"2015-07-20	18"
"2015-07-27	19"
"2015-08-03	18"
"2015-08-10	18"
"2015-08-17	24"
"2015-08-24	53"
"2015-08-31	31"
"2015-09-07	23"
"2015-09-14	23"
"2015-09-21	23"
"2015-09-28	27"
"2015-10-05	23"
"2015-10-12	22"
"2015-10-19	21"
"2015-10-26	21"
"2015-11-02	21"
"2015-11-09	19"
"2015-11-16	21"
"2015-11-23	15"
"2015-11-30	20"
"2015-12-07	20"
"2015-12-14	23"
"2015-12-21	17"
"2015-12-28	19"
"2016-01-04	33"
"2016-01-11	36"
"2016-01-18	38"
"2016-01-25	30"
"2016-02-01	31"
"2016-02-08	35"
"2016-02-15	28"
"2016-02-22	28"
"2016-02-29	28"
"2016-03-07	27"
"2016-03-14	27"
"2016-03-21	22"
"2016-03-28	25"
"2016-04-04	24"
"2016-04-11	24"
"2016-04-18	25"
"2016-04-25	24"
"2016-05-02	23"
"2016-05-09	23"
"2016-05-16	23"
"2016-05-23	22"
"2016-05-30	20"
"2016-06-06	24"
"2016-06-13	23"
"2016-06-20	35"
"2016-06-27	38"
"2016-07-04	25"
"2016-07-11	31"
"2016-07-18	26"
"2016-07-25	23"
"2016-08-01	25"
"2016-08-08	23"
"2016-08-15	22"
"2016-08-22	21"
"2016-08-29	22"
"2016-09-05	20"
"2016-09-12	26"
"2016-09-19	23"
"2016-09-26	22"
"2016-10-03	21"
"2016-10-10	22"
"2016-10-17	22"
"2016-10-24	21"
"2016-10-31	26"
"2016-11-07	53"
"2016-11-14	25"
"2016-11-21	22"
"2016-11-28	24"
"2016-12-05	26"
"2016-12-12	27"
"2016-12-19	22"
"2016-12-26	20"
"2017-01-02	24"
"2017-01-09	24"
"2017-01-16	23"
"2017-01-23	27"
"2017-01-30	27"
"2017-02-06	25"
"2017-02-13	28"
"2017-02-20	25"
"2017-02-27	32"
"2017-03-06	27"
"2017-03-13	26"
"2017-03-20	28"
"2017-03-27	27"
"2017-04-03	26"
"2017-04-10	23"
"2017-04-17	25"
"2017-04-24	27"
"2017-05-01	26"
"2017-05-08	25"
"2017-05-15	28"
"2017-05-22	25"
"2017-05-29	23"
"2017-06-05	25"
"2017-06-12	25"
"2017-06-19	24"
"2017-06-26	25"
"2017-07-03	21"
"2017-07-10	25"
"2017-07-17	26"
"2017-07-24	26"
"2017-07-31	26"
"2017-08-07	28"
"2017-08-14	28"
"2017-08-21	25"
"2017-08-28	25"
"2017-09-04	23"
"2017-09-11	27"
"2017-09-18	27"
"2017-09-25	25"
"2017-10-02	27"
"2017-10-09	25"
"2017-10-16	27"
"2017-10-23	30"
"2017-10-30	27"
"2017-11-06	26"
"2017-11-13	26"
"2017-11-20	22"
"2017-11-27	31"
"2017-12-04	31"
"2017-12-11	28"
"2017-12-18	30"
"2017-12-25	24"
"2018-01-01	30"
"2018-01-08	34"
"2018-01-15	33"
"2018-01-22	37"
"2018-01-29	43"
"2018-02-05	100"
"2018-02-12	55"
"2018-02-19	39"
"2018-02-26	46"
"2018-03-05	42"
"2018-03-12	35"
"2018-03-19	44"
"2018-03-26	43"
"2018-04-02	53"
"2018-04-09	41"
"2018-04-16	36"
"2018-04-23	38"
"2018-04-30	35"
"2018-05-07	34"
"2018-05-14	32"
"2018-05-21	31"
"2018-05-28	30"
"2018-06-04	33"
"2018-06-11	32"
"2018-06-18	32"
"2018-06-25	35"
"2018-07-02	29"
"2018-07-09	35"
"2018-07-16	33"
"2018-07-23	36"
"2018-07-30	35"
"2018-08-06	32"
"2018-08-13	33"
"2018-08-20	34"
"2018-08-27	37"
"2018-09-03	29"
"2018-09-10	31"
"2018-09-17	34"
"2018-09-24	31"
"2018-10-01	34"
"2018-10-08	56"
"2018-10-15	48"
"2018-10-22	58"
"2018-10-29	53"
"2018-11-05	44"
"2018-11-12	43"
"2018-11-19	40"
"2018-11-26	43"
"2018-12-03	52"
"2018-12-10	49"
"2018-12-17	68"
"2018-12-24	75"
"2018-12-31	58"
"2019-01-07	54"
"2019-01-14	49"
"2019-01-21	42"
"2019-01-28	44"
"2019-02-04	41"
"2019-02-11	42"
"2019-02-18	37"
"2019-02-25	40"
"2019-03-04	39"
"2019-03-11	41"
"2019-03-18	43"
"2019-03-25	46"
